temperature,humidity,rainfall,transit_time,storage_duration,food_type,spoilage_risk
15.36,81.55,71.14,12.21,20.72,Brinjal,Low
11.77,67.9,254.29,10.73,8.81,Chickpea,Low
31.38,97.78,168.56,9.57,62.59,Brinjal,Moderate
27.37,56.45,188.61,39.49,50.62,Fish,Moderate
43.81,94.15,98.12,25.57,17.21,Tomato,Moderate
25.51,43.83,176.53,24.18,28.23,Onion,Low
33.41,40.31,81.93,16.4,5.72,Brinjal,Low
24.37,69.38,248.79,24.45,68.15,Guava,Moderate
27.65,66.49,240.96,27.04,68.59,Okra,Moderate
21.22,30.93,204.77,20.35,65.79,Spinach,Low
13.48,46.47,189.31,35.04,57.23,Chicken,Moderate
11.7,81.34,7.15,37.18,1.79,Ice cream,Moderate
38.86,34.87,101.32,28.87,52.59,Grapes,Moderate
22.64,93.76,64.46,10.08,53.98,Chickpea,Moderate
23.34,31.81,34.41,36.15,16.59,Spinach,Low
44.97,43.01,262.94,32.86,36.32,Cabbage,Moderate
39.87,55.98,67.99,5.1,55.09,Butter,Moderate
37.87,66.86,105.1,14.41,37.34,Cabbage,Moderate
19.55,95.07,120.08,6.5,50.82,Watermelon,Moderate
14.17,70.49,112.38,31.58,66.33,Lentil,Moderate
43.18,60.9,85.46,10.69,63.03,Guava,Moderate
37.83,31.75,105.59,28.3,71.22,Paneer,High
24.25,96.42,286.79,27.84,33.06,Ready meals,Moderate
29.94,30.97,101.97,16.97,65.89,Rice,Low
20.93,87.8,71.95,15.63,65.6,Spinach,Moderate
36.18,88.54,196.05,17.71,30.32,Meat products,Moderate
42.69,52.65,95.0,24.48,63.03,Grapes,Moderate
10.21,53.48,253.29,2.75,25.95,Green gram,Low
22.75,67.1,149.13,36.4,4.65,Onion,Low
36.5,56.99,181.89,39.22,25.87,Mango,Moderate
37.6,84.03,109.06,20.92,1.66,Fish,Moderate
44.11,53.22,191.24,23.25,33.48,Milk,Moderate
43.46,85.3,34.56,1.64,62.39,Onion,Moderate
23.26,61.54,193.4,17.04,11.59,Fish,Low
37.19,97.27,16.01,32.95,32.48,Carrot,Moderate
37.72,95.91,263.95,20.41,58.05,Guava,Moderate
18.61,61.41,210.62,21.18,54.9,Green gram,Low
13.22,90.73,60.21,46.02,21.95,Pineapple,Moderate
39.63,31.77,181.55,29.38,3.41,Carrot,Moderate
18.2,37.45,279.16,34.97,62.2,Onion,Moderate
34.94,59.41,91.97,43.41,55.35,Frozen corn,Moderate
21.72,70.52,132.24,2.68,17.05,Cabbage,Low
22.4,87.04,38.82,10.78,5.82,Brinjal,Low
14.43,42.85,33.45,24.05,38.0,Frozen peas,Moderate
10.76,69.29,139.94,47.47,22.45,Cauliflower,Low
35.61,42.47,104.65,10.06,49.04,Cauliflower,Moderate
44.92,36.86,228.37,37.94,45.25,Onion,Moderate
11.42,95.28,32.43,19.24,32.43,Cabbage,Low
21.0,69.78,219.44,10.81,26.96,Potato,Low
13.09,49.39,170.13,45.87,56.31,Paneer,Moderate
32.21,69.03,32.46,28.08,8.65,Frozen peas,Moderate
25.87,54.33,25.16,24.69,47.66,Cauliflower,Moderate
14.24,51.75,59.85,26.88,56.41,Meat products,Moderate
35.08,35.62,151.62,30.66,24.03,Meat products,Moderate
10.81,86.68,164.87,8.53,56.12,Chicken,Moderate
36.92,33.16,294.62,2.02,29.43,Brinjal,Low
43.35,87.4,51.03,26.9,2.12,Potato,Moderate
39.33,55.3,276.82,40.69,62.2,Cauliflower,Moderate
15.54,60.49,22.3,27.75,71.76,Grapes,Moderate
14.87,91.97,227.0,11.76,34.57,Brinjal,Low
27.84,51.65,49.46,6.2,37.04,Milk,Moderate
29.39,64.06,244.29,13.56,69.86,Milk,Moderate
19.63,91.72,144.13,22.73,32.33,Cauliflower,Low
34.06,56.83,126.5,10.62,30.12,Potato,Low
42.07,51.1,210.7,37.69,3.34,Okra,Moderate
16.65,71.99,280.44,25.96,54.03,Brinjal,Moderate
38.35,63.76,106.67,12.28,42.99,Guava,Moderate
31.28,83.65,25.02,24.64,39.99,Cheese,High
12.44,33.0,171.84,11.78,8.49,Milk,Low
34.22,36.79,188.6,47.3,45.34,Okra,Moderate
36.95,35.22,283.71,35.63,46.11,Tomato,Moderate
32.39,99.9,115.91,13.58,10.76,Rice,Moderate
24.95,64.26,210.23,32.03,58.79,Rice,Moderate
35.73,81.04,181.06,45.47,56.16,Milk,High
31.0,55.31,166.23,17.97,20.02,Cabbage,Low
35.2,39.58,98.54,21.15,35.15,Cheese,Low
30.76,69.09,96.92,13.93,68.03,Banana,Moderate
41.03,66.34,97.92,13.41,10.22,Okra,Low
40.77,59.84,231.33,22.83,24.59,Meat products,Low
38.36,95.27,99.6,15.82,40.1,Watermelon,Moderate
35.75,90.58,225.5,41.64,12.77,Maize,Moderate
31.63,62.15,39.32,5.86,24.05,Onion,Low
12.97,49.49,47.54,26.76,28.06,Green gram,Low
44.59,79.56,116.78,28.47,67.79,Grapes,High
25.35,58.69,251.79,32.81,23.75,Ready meals,Low
10.39,37.95,216.23,8.82,58.62,Tomato,Low
40.95,98.45,251.98,9.69,7.68,Frozen peas,Moderate
11.92,84.63,258.4,28.23,16.57,Cauliflower,Moderate
19.14,81.66,59.88,44.77,2.34,Grapes,Moderate
21.22,97.89,57.1,45.06,43.7,Guava,Moderate
21.77,62.29,72.91,17.51,25.35,Frozen peas,Low
25.36,36.54,196.79,47.72,45.14,Brinjal,Moderate
21.18,90.72,14.96,22.15,26.7,Cabbage,Low
13.79,90.83,185.83,3.55,56.75,Potato,Moderate
23.35,35.87,100.98,23.38,70.58,Okra,Low
38.24,48.64,12.64,12.8,52.27,Watermelon,Moderate
31.54,57.31,183.09,16.87,24.12,Orange,Low
31.83,73.93,190.03,2.39,24.29,Brinjal,Low
24.64,55.99,221.06,41.66,34.95,Brinjal,Low
43.32,97.53,183.96,40.69,50.09,Green gram,High
44.84,98.83,113.62,3.31,14.56,Okra,Moderate
40.84,65.8,230.54,5.77,12.36,Lentil,Low
26.47,91.92,233.9,43.47,44.44,Pineapple,Moderate
32.88,39.45,80.42,38.86,68.86,Carrot,Moderate
21.01,63.09,299.72,27.15,70.0,Banana,Moderate
16.49,36.9,103.64,47.66,38.9,Mango,Moderate
36.33,88.1,16.86,30.73,61.83,Ready meals,High
44.8,90.43,204.81,47.27,47.47,Watermelon,High
18.81,73.27,118.64,30.02,26.24,Papaya,Low
35.08,96.97,27.03,18.54,1.57,Frozen peas,Moderate
17.08,92.52,110.27,17.23,37.24,Fish,Moderate
16.93,40.43,46.73,35.63,61.45,Potato,Moderate
35.52,69.95,151.74,20.98,10.91,Grapes,Low
10.24,33.76,36.94,13.56,68.69,Ice cream,Moderate
43.86,79.94,21.6,14.2,25.97,Potato,Moderate
41.8,52.1,148.99,20.49,45.5,Lentil,Moderate
40.32,49.72,57.05,39.58,38.99,Frozen corn,Moderate
25.33,92.97,159.33,24.18,7.03,Okra,Moderate
25.2,33.88,292.55,36.42,57.46,Mango,Moderate
41.19,50.3,207.5,15.32,15.66,Okra,Low
29.41,71.66,227.37,33.01,30.93,Cheese,Low
27.15,66.63,79.59,44.84,3.63,Frozen peas,Low
40.19,63.75,111.79,24.16,60.51,Brinjal,Moderate
30.75,51.86,60.14,11.72,10.1,Ready meals,Low
19.8,42.11,112.46,30.46,27.13,Mango,Low
39.35,46.22,0.94,43.97,25.0,Tomato,Moderate
39.29,42.19,260.3,5.48,1.79,Milk,Moderate
39.68,65.9,43.92,7.17,55.97,Barley,Moderate
39.84,37.02,281.64,10.73,9.18,Butter,Low
37.81,78.28,123.22,25.93,67.41,Maize,High
15.4,52.41,145.1,11.39,64.55,Watermelon,Low
19.6,60.65,88.31,10.4,35.39,Ice cream,Low
13.77,59.99,272.35,42.68,30.63,Meat products,Low
39.87,35.77,182.31,44.0,1.76,Brinjal,Moderate
33.62,32.75,222.61,45.88,61.38,Maize,Moderate
25.71,83.24,100.14,35.27,22.05,Frozen peas,Moderate
21.97,65.86,91.9,27.41,57.5,Carrot,Moderate
25.86,53.82,199.87,42.68,36.11,Fish,Moderate
22.95,43.27,155.26,2.47,30.33,Milk,Low
14.86,89.88,32.05,5.3,23.94,Frozen corn,Low
38.78,36.09,252.45,34.49,38.97,Meat products,Moderate
27.59,68.11,136.91,15.61,2.63,Maize,Low
28.42,98.69,287.52,20.4,2.58,Spinach,Low
19.43,95.01,122.12,3.12,16.39,Frozen corn,Low
23.43,86.89,104.8,15.74,15.3,Frozen peas,Low
12.27,70.03,162.65,16.22,19.61,Ready meals,Low
42.18,51.72,122.08,47.01,23.23,Brinjal,Moderate
42.32,47.39,59.12,2.7,13.76,Banana,Low
11.37,71.15,120.9,42.43,30.39,Cheese,Low
39.34,99.58,282.51,22.85,56.19,Mango,Moderate
22.37,59.5,74.25,29.37,71.03,Ready meals,Moderate
37.94,42.03,231.22,31.96,37.14,Guava,Moderate
42.86,30.04,27.65,39.69,60.06,Egg,Moderate
40.31,58.84,101.76,3.8,57.4,Orange,Moderate
43.49,37.7,179.71,27.52,2.31,Papaya,Moderate
36.81,53.06,151.76,24.07,45.13,Paneer,High
37.66,44.11,158.56,9.9,44.2,Cauliflower,Moderate
10.05,87.71,42.44,17.0,26.92,Spinach,Low
43.48,96.31,107.72,1.09,57.91,Tomato,Moderate
42.99,37.78,59.58,21.7,57.11,Wheat,Moderate
41.39,75.37,264.14,40.82,38.78,Meat products,High
21.22,46.7,184.84,37.95,65.72,Chickpea,Moderate
39.33,50.95,232.35,24.96,41.97,Grapes,Moderate
17.93,73.99,144.38,27.09,39.53,Egg,Moderate
13.86,39.74,179.82,41.08,53.55,Cauliflower,Moderate
21.68,52.84,171.13,9.55,57.22,Frozen corn,Low
26.92,31.35,274.41,32.59,42.48,Okra,Moderate
16.88,69.5,272.96,1.01,39.78,Cheese,Low
24.21,35.4,125.89,41.45,69.12,Paneer,Moderate
33.65,58.28,257.66,6.78,61.33,Pineapple,Moderate
12.46,61.3,119.96,9.51,56.41,Frozen corn,Low
21.21,74.65,68.46,18.99,15.04,Lentil,Low
31.28,61.18,118.35,40.04,42.88,Barley,Moderate
18.64,87.64,68.01,28.54,7.54,Mango,Moderate
37.9,99.37,52.45,35.92,37.18,Green gram,High
29.74,99.99,251.01,6.2,34.4,Green gram,Low
35.41,51.42,4.06,40.47,47.29,Cauliflower,Moderate
21.79,94.18,50.24,7.05,17.68,Wheat,Low
32.67,56.76,139.13,16.16,33.94,Chickpea,Low
38.27,79.33,209.34,17.03,32.27,Cheese,Moderate
19.03,78.11,246.87,20.11,11.57,Brinjal,Low
44.68,55.55,43.94,1.35,69.29,Butter,Moderate
44.05,64.03,116.08,14.4,29.22,Maize,Low
37.83,66.42,32.57,33.52,50.94,Chicken,High
31.89,78.7,199.78,10.37,61.62,Cabbage,Moderate
12.94,58.61,1.83,2.67,14.15,Mango,Low
20.94,49.93,18.98,12.7,39.17,Onion,Low
36.52,68.05,286.26,9.5,6.58,Apple,Low
42.51,85.84,241.33,4.29,34.15,Chickpea,Moderate
14.22,41.49,195.9,45.54,21.61,Grapes,Low
24.79,90.41,161.38,46.15,46.11,Apple,Moderate
38.08,92.56,135.99,15.68,24.29,Apple,Moderate
33.64,72.04,238.05,25.66,66.15,Meat products,Moderate
34.2,83.05,149.42,9.44,23.44,Fish,Moderate
32.19,57.82,238.09,30.7,39.42,Onion,Moderate
21.04,31.93,123.98,30.84,47.24,Cheese,Moderate
24.98,76.62,161.67,45.38,10.05,Guava,Moderate
36.72,99.41,272.08,29.18,30.36,Lentil,Moderate
27.3,57.19,212.71,19.47,57.31,Meat products,Low
25.45,49.71,88.33,1.88,8.82,Ice cream,Low
26.14,94.66,202.73,32.68,68.17,Banana,Moderate
15.29,66.78,80.12,37.63,29.64,Grapes,Low
12.86,45.53,119.31,33.47,56.49,Mango,Moderate
31.88,51.65,98.44,42.9,15.01,Chicken,Moderate
24.94,98.35,150.03,27.03,23.06,Lentil,Moderate
43.43,51.51,44.13,13.95,63.43,Frozen peas,Moderate
32.08,88.31,291.05,23.93,60.23,Chickpea,Moderate
20.18,81.44,84.4,23.0,34.77,Guava,Low
43.12,96.1,160.49,22.69,27.39,Apple,Moderate
25.24,83.03,11.8,21.36,68.79,Pineapple,Moderate
23.56,96.36,262.0,16.44,56.62,Pineapple,Moderate
36.34,42.18,57.82,45.28,41.84,Milk,High
35.2,76.17,27.38,34.99,46.49,Mango,High
32.17,85.79,271.51,37.82,2.36,Milk,High
39.88,81.57,50.52,10.48,37.49,Cabbage,Moderate
27.42,98.12,215.7,9.12,63.98,Orange,Moderate
43.78,32.68,176.07,30.34,45.47,Okra,Moderate
10.05,35.89,241.88,1.42,31.42,Fish,Low
38.95,64.59,51.4,8.46,16.72,Banana,Low
44.87,96.48,238.25,11.56,64.46,Spinach,Moderate
17.24,82.16,188.02,13.35,69.98,Onion,Moderate
43.55,54.09,133.46,47.33,43.77,Watermelon,Moderate
26.05,52.91,18.71,19.75,53.0,Egg,Low
12.54,96.3,147.25,33.51,62.56,Milk,High
17.35,71.83,281.13,5.94,19.39,Frozen corn,Low
26.46,98.55,221.5,21.5,42.68,Lentil,Moderate
42.79,35.12,82.69,39.97,37.38,Paneer,High
21.42,70.31,250.13,12.64,30.79,Ice cream,Low
26.0,59.69,215.14,15.86,18.53,Frozen peas,Low
13.3,63.04,237.09,13.95,51.73,Egg,Low
40.16,35.45,271.71,27.09,29.81,Frozen corn,Moderate
15.15,99.57,198.89,17.09,63.66,Lentil,Moderate
18.16,80.3,145.45,22.84,55.67,Mango,Moderate
10.42,50.29,108.99,7.6,38.35,Papaya,Low
43.62,73.4,195.48,34.22,70.66,Cabbage,Moderate
34.71,44.04,23.08,47.56,40.84,Guava,Moderate
31.83,85.28,228.98,33.52,25.38,Orange,Moderate
26.54,67.22,1.06,28.2,39.08,Mango,Moderate
41.07,91.85,269.72,20.13,47.72,Fish,High
24.85,72.1,210.46,40.17,21.71,Meat products,Low
34.03,46.85,282.48,12.61,19.79,Frozen peas,Low
20.89,50.0,43.38,24.82,47.1,Orange,Moderate
10.7,56.94,58.07,30.95,68.42,Guava,Moderate
28.3,72.09,240.01,39.41,36.21,Cauliflower,Moderate
32.07,87.93,79.9,24.73,17.18,Meat products,Moderate
21.03,65.18,249.16,41.99,30.25,Lentil,Low
38.22,80.35,243.22,2.9,5.18,Frozen peas,Moderate
16.65,80.49,245.76,46.5,66.5,Milk,High
15.86,46.83,171.76,3.02,53.67,Egg,Low
15.23,44.34,280.26,1.49,22.19,Chickpea,Low
23.03,48.8,23.76,14.22,38.98,Orange,Low
42.34,90.58,176.54,45.16,8.82,Apple,Moderate
20.5,42.53,293.78,39.07,2.13,Egg,Low
19.02,53.8,57.37,42.19,55.98,Ready meals,Moderate
41.24,93.69,215.27,8.42,6.21,Spinach,Moderate
24.97,79.42,63.09,24.79,18.61,Papaya,Moderate
36.63,61.24,210.62,33.07,25.72,Ready meals,Moderate
38.52,94.66,145.43,19.73,3.29,Milk,Moderate
22.5,91.62,190.29,37.92,26.28,Watermelon,Moderate
18.38,49.48,246.63,16.09,62.73,Mango,Low
27.62,33.2,209.03,14.95,18.42,Ice cream,Low
11.7,81.83,150.24,3.96,64.23,Tomato,Moderate
18.62,78.72,19.14,18.02,33.87,Cauliflower,Low
25.88,51.04,87.37,26.92,32.27,Meat products,Low
33.85,41.76,190.42,36.62,25.93,Meat products,Moderate
38.06,63.83,22.93,41.58,51.22,Maize,Moderate
18.65,34.39,277.68,45.48,35.44,Frozen peas,Low
35.83,98.17,66.46,3.82,65.3,Okra,Moderate
13.45,66.72,105.84,28.75,38.05,Butter,Moderate
16.61,90.01,271.33,15.22,6.08,Milk,Moderate
42.39,38.38,1.58,29.19,11.77,Barley,Moderate
19.64,76.19,138.17,20.87,56.66,Fish,Moderate
25.38,53.77,92.34,11.64,8.26,Butter,Low
35.43,85.83,262.91,25.08,41.98,Cabbage,High
22.7,45.07,77.24,42.35,24.08,Onion,Low
30.61,79.22,110.9,45.84,5.33,Cauliflower,Moderate
10.57,51.03,46.33,42.58,46.6,Guava,Moderate
19.69,77.9,94.3,27.38,8.36,Barley,Moderate
34.59,99.38,43.09,31.84,15.45,Fish,High
27.63,87.71,82.06,45.09,37.13,Watermelon,Moderate
26.32,55.94,255.62,26.89,31.01,Orange,Low
42.4,73.16,288.98,11.54,21.03,Cauliflower,Low
11.84,51.39,97.15,12.71,69.73,Okra,Low
31.17,45.26,130.61,18.7,28.27,Tomato,Low
35.51,68.26,178.52,20.21,42.16,Paneer,Moderate
34.6,85.22,216.08,40.82,48.72,Cabbage,High
19.51,71.74,123.77,29.99,65.96,Brinjal,Moderate
31.2,96.65,43.44,1.27,63.53,Watermelon,Moderate
22.88,64.98,157.52,44.46,50.82,Ice cream,Moderate
29.8,61.05,168.26,1.45,68.9,Egg,Low
29.68,99.12,31.6,32.49,2.58,Frozen corn,Moderate
28.68,82.53,14.81,44.66,51.86,Potato,Moderate
12.46,87.22,17.81,27.67,63.06,Ready meals,Moderate
17.55,49.69,51.73,33.19,29.5,Milk,Moderate
30.11,99.23,281.63,17.19,71.98,Tomato,Moderate
11.05,81.22,103.77,44.43,10.46,Chickpea,Moderate
35.15,77.06,229.09,26.2,24.54,Chicken,High
42.03,99.75,197.49,30.81,63.59,Lentil,High
38.29,45.66,109.32,17.98,24.23,Grapes,Low
11.59,53.62,261.58,8.92,9.48,Papaya,Low
30.54,53.07,167.03,26.6,70.86,Pineapple,Moderate
26.03,46.65,299.66,40.6,19.87,Ice cream,Moderate
36.75,62.43,201.0,46.69,46.1,Butter,Moderate
24.57,91.02,174.49,47.61,70.55,Cauliflower,Moderate
23.06,98.57,263.68,46.63,8.35,Mango,Moderate
24.17,98.64,152.44,29.44,51.85,Frozen peas,Moderate
37.51,51.71,270.64,25.47,22.27,Ready meals,Moderate
15.36,38.88,195.89,28.5,69.49,Fish,Moderate
15.87,37.6,27.04,17.14,59.81,Lentil,Low
17.55,54.41,9.04,7.42,36.45,Meat products,Low
22.02,71.98,30.36,28.75,57.72,Carrot,Moderate
12.27,34.0,169.17,12.94,27.16,Ready meals,Low
28.68,48.53,273.1,12.6,23.72,Frozen peas,Low
11.43,81.76,207.35,10.39,11.36,Barley,Low
16.13,63.76,145.72,45.4,20.8,Watermelon,Low
25.95,36.39,140.87,36.07,23.89,Papaya,Low
18.77,38.41,196.98,8.77,67.71,Brinjal,Low
27.07,94.99,138.77,19.49,19.89,Wheat,Low
34.27,75.87,203.44,45.56,24.1,Pineapple,Moderate
16.54,51.51,167.46,32.58,3.98,Milk,Moderate
17.58,73.92,64.52,36.34,7.55,Orange,Low
19.1,79.22,219.13,40.73,61.95,Egg,Moderate
25.54,69.65,275.42,1.83,8.89,Watermelon,Low
44.55,78.58,157.28,10.4,50.16,Papaya,Moderate
19.17,45.36,253.57,23.11,2.38,Egg,Low
10.07,40.38,257.0,23.78,55.66,Cauliflower,Low
41.56,69.09,132.66,41.8,63.12,Egg,Moderate
28.86,52.78,41.6,11.95,26.16,Orange,Low
21.61,79.23,114.68,7.57,59.86,Pineapple,Moderate
15.08,37.27,219.38,20.01,27.63,Green gram,Low
44.76,75.54,238.45,14.77,55.97,Butter,Moderate
39.5,67.69,148.51,9.25,35.68,Green gram,Low
24.29,53.99,251.39,45.78,67.32,Ice cream,Moderate
38.32,71.05,200.37,18.79,61.38,Maize,Moderate
14.69,43.15,217.21,45.02,23.39,Cabbage,Low
29.57,47.29,286.13,16.11,29.88,Apple,Low
29.74,93.38,144.22,30.86,26.4,Frozen peas,Moderate
18.82,49.26,264.72,42.11,5.33,Apple,Low
13.02,86.81,20.24,9.36,46.91,Chickpea,Moderate
21.15,97.6,293.56,17.96,64.69,Fish,Moderate
21.08,93.54,117.07,31.48,17.16,Grapes,Moderate
20.55,56.38,127.0,14.91,49.51,Maize,Low
28.95,81.83,87.14,10.92,15.75,Cabbage,Low
21.32,61.54,77.56,19.69,43.87,Chicken,Moderate
23.85,45.09,96.46,41.86,26.2,Ready meals,Low
36.09,46.3,1.24,20.19,5.24,Okra,Low
37.03,47.49,95.01,24.69,43.42,Chicken,High
20.59,33.5,179.64,10.52,18.3,Potato,Low
10.67,65.63,268.43,43.53,56.03,Fish,Moderate
38.34,70.33,73.25,38.15,3.36,Frozen corn,Moderate
42.5,47.11,244.41,5.93,69.57,Egg,Moderate
16.0,85.31,115.36,8.61,60.44,Milk,Moderate
15.06,51.47,238.33,39.0,47.16,Green gram,Moderate
36.47,46.07,173.22,23.25,50.06,Wheat,Moderate
36.23,90.04,249.09,27.55,10.91,Pineapple,Moderate
43.65,49.71,138.8,21.1,40.58,Egg,Moderate
38.89,52.79,274.65,14.84,40.95,Maize,Moderate
36.5,64.13,289.29,20.71,29.77,Okra,Low
38.77,95.6,285.81,21.29,45.75,Frozen corn,Moderate
14.39,30.9,169.64,40.31,58.56,Potato,Moderate
42.7,37.83,101.82,45.03,69.44,Guava,Moderate
18.12,96.41,222.01,22.09,30.29,Cauliflower,Low
41.63,76.41,175.08,44.96,45.25,Orange,High
44.43,42.88,149.53,1.29,66.13,Green gram,Moderate
23.47,33.1,127.25,41.45,50.41,Frozen corn,Moderate
11.99,31.29,283.24,43.77,39.33,Frozen corn,Moderate
39.37,47.18,43.53,21.11,52.32,Rice,Moderate
35.22,39.13,101.8,10.81,57.87,Egg,Moderate
37.5,71.7,121.13,37.04,69.78,Potato,Moderate
21.1,50.03,225.21,35.79,26.25,Banana,Low
39.31,48.62,39.44,22.49,32.63,Green gram,Low
39.25,43.36,180.37,46.68,10.03,Guava,Moderate
22.99,48.18,213.43,25.43,31.09,Orange,Low
38.48,68.1,161.97,8.54,25.04,Carrot,Low
38.69,72.18,161.97,38.7,38.7,Rice,Moderate
31.81,87.98,78.84,34.36,11.92,Cheese,Moderate
11.72,87.87,109.29,6.87,45.14,Chickpea,Moderate
